,low_futures,amount_futures,volume_futures,vol_diff_futures,trade_count_futures,open_futures,close_futures,high_futures,log_ret_futures,his_rv_1day_futures,his_rv_5day_futures,his_rv_1month_futures,his_rv_3month_futures,past_vol_2_futures,past_vol_3_futures,past_vol_250_futures,avg_volume_1_futures,avg_volume_2_futures,avg_volume_3_futures,vol_volume_1_futures,avg_amount_1_futures,avg_amount_2_futures,avg_amount_3_futures,vol_amount_1_futures,avg_trade_count_1_futures,avg_trade_count_2_futures,avg_trade_count_3_futures,vol_trade_count_1_futures,vol_std_futures,vol_std_20_futures,vol_std_60_futures,delta_positive50_iv,delta_negative50_iv,delta_positive25_iv,delta_negative25_iv,domestic_production_spot,price_spot,volume_spot,forward_volume_spot,spot_volume_spot,delivery_volume_spot,stock_spot,shandongfirm_stockdays_spot,avg_price_1_spot,avg_price_2_spot,avg_price_3_spot,log_ret_spot,vol_price_3_spot,vol_inventory_3_spot,date
0,2181.786,,94317.0,47489.0,,2228.701,2185.662,2229.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2435.0,,,,,,,2443.6,2473.2833333333333,2618.9555555555557,-0.0020512827705573607,0.11004743352672075,,2004-12-17
1,2187.768,,131717.0,53307.0,,2196.883,2236.973,2244.45,0.023204855210575207,0.3683656565786601,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,2437.1666666666665,2464.483333333333,2599.4666666666667,0.0008210181085160052,0.10913178330641322,,2004-12-20
2,2207.71,,106918.0,47601.0,,2226.386,2223.622,2247.441,-0.005986214784862249,0.09502821369218119,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.0,,,,,,,2435.8333333333335,2462.483333333333,2593.1666666666665,0.009393575301202162,0.11083753693966118,,2004-12-21
3,2213.853,,85117.0,50417.0,,2225.968,2221.074,2235.945,-0.0011465352317103982,0.01820068255487718,,,,,,,,,,,,,,,,,,,,,,,,,,,2472.0,,,,,,,2435.233333333333,2460.6833333333334,2587.0,0.004866189651172906,0.1114215847040582,,2004-12-22
4,2213.514,,54466.0,51976.0,,2216.238,2221.976,2230.084,0.0004060273966720552,0.006445485102439396,,,,,,,,,,,,,,,,,,,,,,,,,,,2472.0,,,,,,,2434.8,2458.883333333333,2580.8333333333335,0.0,0.1114215847040582,,2004-12-23
5,2221.411,,31755.0,50310.0,,2228.086,2222.559,2233.018,0.00026234465623238047,0.00416459230906566,0.1703606593653148,,,,,,,,,,,,,,,,,,,,,,,,,,2472.0,,,,,,,2434.8,2457.633333333333,2574.6666666666665,0.0,0.1114215847040582,,2004-12-24
6,2195.291,,69877.0,48425.0,,2227.754,2214.565,2230.285,-0.003603238786682494,0.057199642463663956,0.05038315878995232,,,,,,,,,,,,,,,,,,,,,,,,,,2475.0,,,,,,,2435.5666666666666,2453.9666666666667,2556.911111111111,0.0012128564252092296,0.11065989247415847,,2004-12-27
7,2201.076,,63275.0,46782.0,,2226.251,2204.854,2227.893,-0.00439470239385386,0.06976373772166526,0.041301164999641836,,,,,,,,,,,,,,,,,,,,,,,,,,2482.0,,,,,,,2436.233333333333,2453.0,2551.0444444444443,0.0028242907617618608,0.11032371773914769,,2004-12-28
8,2180.339,,48656.0,45125.0,,2191.697,2188.645,2199.565,-0.007378662674584171,0.11713263867110658,0.06620833987985321,,,,,,,,,,,,,,,,,,,,,,,,,,2482.0,,,,,,,2437.9,2452.0333333333333,2545.488888888889,0.0,0.10970269647623185,,2004-12-29
9,2177.814,,44567.0,44287.0,,2180.267,2191.194,2202.294,0.00116396985724248,0.018477448655033736,0.0666597227399341,,,,,,,,,,,,,,,,,,,,,,,,,,2482.0,,,,,,,2440.0666666666666,2451.0666666666666,2539.9333333333334,0.0,0.10970269647623185,,2004-12-30
